source|relation|target
Elektrische Energiesysteme in Wissenschaft und Praxis für Doktoranden und fortgeschrittene Studierende|Veranstaltungsart|Seminar
Elektrische Energiesysteme in Wissenschaft und Praxis für Doktoranden und fortgeschrittene Studierende|Dozent|Michael Danzer
Elektrische Energiesysteme in Wissenschaft und Praxis für Doktoranden und fortgeschrittene Studierende|Veranstaltung von|Lehrstuhl Elektrische Energiesysteme
Elektrische Energietechnik|Vorlesungsnummer|62041
Elektrische Energietechnik|Veranstaltungsart|Übung
Elektrische Energietechnik|Dozent|Michael Gleißner
Elektrische Energietechnik|Veranstaltung von|Lehrstuhl Mechatronik
Elektrische Energietechnik|Vorlesungsnummer|62040
Elektrische Energietechnik|Veranstaltungsart|Vorlesung
Elektrische Energietechnik|Dozent|Mark-Matthias Bakran
Elektrische Energietechnik|Veranstaltung von|Lehrstuhl Mechatronik
Elektrische Energietechnik II|Vorlesungsnummer|65030
Elektrische Energietechnik II|Veranstaltungsart|Vorlesung
Elektrische Energietechnik II|Dozent|Mark-Matthias Bakran
Elektrische Energietechnik II|Veranstaltung von|Lehrstuhl Mechatronik
Elektrische Systeme im Kfz|Vorlesungsnummer|67004
Elektrische Systeme im Kfz|Veranstaltungsart|Vorlesung
Elektrische Systeme im Kfz|Dozent|Mark-Matthias Bakran
Elektrische Systeme im Kfz|Veranstaltung von|Lehrstuhl Mechatronik
Elektrische Systeme im Kfz|Vorlesungsnummer|67007
Elektrische Systeme im Kfz|Veranstaltungsart|Übung
Elektrische Systeme im Kfz|Dozent|Markus Fürst
Elektrische Systeme im Kfz|Veranstaltung von|Lehrstuhl Mechatronik
Elektroniktechnologie im Automobil|Vorlesungsnummer|66170
Elektroniktechnologie im Automobil|Veranstaltungsart|Vorlesung
Elektroniktechnologie im Automobil|Dozent|Ralf Moos
Elektroniktechnologie im Automobil|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Elektrotechnik II|Vorlesungsnummer|60220
Elektrotechnik II|Veranstaltungsart|Vorlesung
Elektrotechnik II|Dozent|Gerhard Fischerauer
Elektrotechnik II|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Elektrothermische Prozesse und Systeme|Vorlesungsnummer|68001
Elektrothermische Prozesse und Systeme|Veranstaltungsart|Vorlesung
Elektrothermische Prozesse und Systeme|Dozent|Andreas Rosin
Elektrothermische Prozesse und Systeme|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Elektrothermische Prozesse und Systeme|Vorlesungsnummer|60082
Elektrothermische Prozesse und Systeme|Veranstaltungsart|Übung
Elektrothermische Prozesse und Systeme|Dozent|Andreas Rosin
Elektrothermische Prozesse und Systeme|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Energietechnik für Juristinnen und Juristen|Vorlesungsnummer|69410
Energietechnik für Juristinnen und Juristen|Veranstaltungsart|Vorlesung
Energietechnik für Juristinnen und Juristen|Dozent|Andreas Obermeier
Energietechnik für Juristinnen und Juristen|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Energietechnische Exkursion|Vorlesungsnummer|69044
Energietechnische Exkursion|Veranstaltungsart|Exkursion
Energietechnische Exkursion|Dozent|Dieter Brüggemann
Energietechnische Exkursion|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Energietechnisches Seminar|Vorlesungsnummer|61362
Energietechnisches Seminar|Veranstaltungsart|Seminar
Energietechnisches Seminar|Dozent|Dieter Brüggemann
Energietechnisches Seminar|Veranstaltung von|Lehrstuhl Technische Thermodynamik und Transportprozesse
Entrepreneurial Thinking & Business Design (for Engineers and Scientists)|Vorlesungsnummer|00233
Entrepreneurial Thinking & Business Design (for Engineers and Scientists)|Veranstaltungsart|Vorlesung & Übung
Entrepreneurial Thinking & Business Design (for Engineers and Scientists)|Dozent|Vanessa Neubauer
Entrepreneurial Thinking & Business Design (for Engineers and Scientists)|Veranstaltung von|Lehrstuhl Biomaterialien
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Vorlesungsnummer|00224
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Veranstaltungsart|Übung
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Dozent|Stefan Pechmann
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Veranstaltung von|Lehrstuhl Kommunikationselektronik
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Vorlesungsnummer|00480
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Veranstaltungsart|Praktikum
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Dozent|Stefan Pechmann
Entwurf von integrierten Analog- und Mixed-Signal-Schaltungen (EIAMS)|Veranstaltung von|Lehrstuhl Kommunikationselektronik
Ethics in Science|Vorlesungsnummer|00628
Ethics in Science|Veranstaltungsart|Vorlesung
Ethics in Science|Dozent|Hendrik Bargel
Ethics in Science|Veranstaltung von|Lehrstuhl Biomaterialien
Experimentelle Strömungsmechanik und Strömungsmaschinen|Vorlesungsnummer|65002
Experimentelle Strömungsmechanik und Strömungsmaschinen|Veranstaltungsart|Praktikum
Experimentelle Strömungsmechanik und Strömungsmaschinen|Dozent|Stephan Eißner
Experimentelle Strömungsmechanik und Strömungsmaschinen|Veranstaltung von|Lehrstuhl Technische Mechanik und Strömungsmechanik
Experimentelle Strömungsmechanik und Strömungsmaschinen|Vorlesungsnummer|65001
Experimentelle Strömungsmechanik und Strömungsmaschinen|Veranstaltungsart|Vorlesung
Experimentelle Strömungsmechanik und Strömungsmaschinen|Dozent|Lutz Heymann
Experimentelle Strömungsmechanik und Strömungsmaschinen|Veranstaltung von|Lehrstuhl Technische Mechanik und Strömungsmechanik
Fabrikplanung und -simulation|Vorlesungsnummer|61347
Fabrikplanung und -simulation|Veranstaltungsart|Übung
Fabrikplanung und -simulation|Dozent|Christoph Hoffmann
Fabrikplanung und -simulation|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Fabrikplanung und -simulation|Vorlesungsnummer|61346
Fabrikplanung und -simulation|Veranstaltungsart|Vorlesung
Fabrikplanung und -simulation|Dozent|Bernd Rosemann
Fabrikplanung und -simulation|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Fachdidaktik I|Vorlesungsnummer|00854
Fachdidaktik I|Veranstaltungsart|Vorlesung
Fachdidaktik I|Dozent|Moritz Dier
Fachdidaktik I|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Fachdidaktik II|Vorlesungsnummer|68400
Fachdidaktik II|Veranstaltungsart|Vorlesung
Fachdidaktik II|Dozent|Moritz Dier
Fachdidaktik II|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
FE Seminar CAE2|Vorlesungsnummer|00009
FE Seminar CAE2|Veranstaltungsart|Seminar
FE Seminar CAE2|Dozent|Matthias Roppel
FE Seminar CAE2|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Fertigungslehre und Werkzeugmaschinen II|Vorlesungsnummer|61348
Fertigungslehre und Werkzeugmaschinen II|Veranstaltungsart|Vorlesung
Fertigungslehre und Werkzeugmaschinen II|Dozent|Steffen Globisch
Fertigungslehre und Werkzeugmaschinen II|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Fertigungslehre/Werkzeugmaschinen II|Vorlesungsnummer|61326
Fertigungslehre/Werkzeugmaschinen II|Veranstaltungsart|Übung
Fertigungslehre/Werkzeugmaschinen II|Dozent|Bernd Rosemann
Fertigungslehre/Werkzeugmaschinen II|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
FM-Seminar|Vorlesungsnummer|69143
FM-Seminar|Veranstaltungsart|Seminar
FM-Seminar|Dozent|Ralf Moos
FM-Seminar|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Forschungsmodul I (C301, FM)|Vorlesungsnummer|00846
Forschungsmodul I (C301, FM)|Veranstaltungsart|Praktikum
Forschungsmodul I (C301, FM)|Dozent|Ralf Moos
Forschungsmodul I (C301, FM)|Veranstaltung von|Lehrstuhl Funktionsmaterialien
Forschungsmodul I (C301, PW)|Vorlesungsnummer|00830
Forschungsmodul I (C301, PW)|Veranstaltungsart|Praktikum
Forschungsmodul I (C301, PW)|Dozent|Volker Altstädt
Forschungsmodul I (C301, PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Forschungsmodul I M.Sc. Materialchemie und Katalyse C301|Vorlesungsnummer|00447
Forschungsmodul I M.Sc. Materialchemie und Katalyse C301|Veranstaltungsart|Kurs
Forschungsmodul I M.Sc. Materialchemie und Katalyse C301|Dozent|Thomas Scheibel
Forschungsmodul I M.Sc. Materialchemie und Katalyse C301|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul I M.Sc. Natur- und Wirkstoffchemie B301|Vorlesungsnummer|00450
Forschungsmodul I M.Sc. Natur- und Wirkstoffchemie B301|Veranstaltungsart|Kurs
Forschungsmodul I M.Sc. Natur- und Wirkstoffchemie B301|Dozent|Thomas Scheibel
Forschungsmodul I M.Sc. Natur- und Wirkstoffchemie B301|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul I M.Sc. Polymer Science P301|Vorlesungsnummer|00452
Forschungsmodul I M.Sc. Polymer Science P301|Veranstaltungsart|Kurs
Forschungsmodul I M.Sc. Polymer Science P301|Dozent|Thomas Scheibel
Forschungsmodul I M.Sc. Polymer Science P301|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul I (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Vorlesungsnummer|00503
Forschungsmodul I (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltungsart|Praktikum
Forschungsmodul I (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Dozent|Thomas Scheibel
Forschungsmodul I (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul I (Seminar) M.Sc. Biochemie und Molekulare Biologie|Vorlesungsnummer|00504
Forschungsmodul I (Seminar) M.Sc. Biochemie und Molekulare Biologie|Veranstaltungsart|Seminar
Forschungsmodul I (Seminar) M.Sc. Biochemie und Molekulare Biologie|Dozent|Thomas Scheibel
Forschungsmodul I (Seminar) M.Sc. Biochemie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (C302, PW)|Vorlesungsnummer|00831
Forschungsmodul II (C302, PW)|Veranstaltungsart|Praktikum
Forschungsmodul II (C302, PW)|Dozent|Volker Altstädt
Forschungsmodul II (C302, PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Forschungsmodul II M.Sc. Materialchemie und Katalyse C302|Vorlesungsnummer|00449
Forschungsmodul II M.Sc. Materialchemie und Katalyse C302|Veranstaltungsart|Kurs
Forschungsmodul II M.Sc. Materialchemie und Katalyse C302|Dozent|Thomas Scheibel
Forschungsmodul II M.Sc. Materialchemie und Katalyse C302|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II M.Sc. Natur- und Wirkstoffchemie B302|Vorlesungsnummer|00451
Forschungsmodul II M.Sc. Natur- und Wirkstoffchemie B302|Veranstaltungsart|Kurs
Forschungsmodul II M.Sc. Natur- und Wirkstoffchemie B302|Dozent|Thomas Scheibel
Forschungsmodul II M.Sc. Natur- und Wirkstoffchemie B302|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II M.Sc. Polymer Science P302|Vorlesungsnummer|00453
Forschungsmodul II M.Sc. Polymer Science P302|Veranstaltungsart|Kurs
Forschungsmodul II M.Sc. Polymer Science P302|Dozent|Thomas Scheibel
Forschungsmodul II M.Sc. Polymer Science P302|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Vorlesungsnummer|00415
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltungsart|Praktikum
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Dozent|Thomas Scheibel
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Vorlesungsnummer|00712
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltungsart|Praktikum
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Dozent|Thomas Scheibel
Forschungsmodul II (Praktikum) M.Sc. Biochemie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (Praktikum/Protokoll) M. Sc. Molekulare Ökologie|Vorlesungsnummer|01190
Forschungsmodul II (Praktikum/Protokoll) M. Sc. Molekulare Ökologie|Veranstaltungsart|Praktikum
Forschungsmodul II (Praktikum/Protokoll) M. Sc. Molekulare Ökologie|Dozent|Thomas Scheibel
Forschungsmodul II (Praktikum/Protokoll) M. Sc. Molekulare Ökologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (Seminar) M. Sc. Molekulare Ökologie|Vorlesungsnummer|01189
Forschungsmodul II (Seminar) M. Sc. Molekulare Ökologie|Veranstaltungsart|Seminar
Forschungsmodul II (Seminar) M. Sc. Molekulare Ökologie|Dozent|Thomas Scheibel
Forschungsmodul II (Seminar) M. Sc. Molekulare Ökologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul II (Seminar) M.Sc. Biochmie und Molekulare Biologie|Vorlesungsnummer|00416
Forschungsmodul II (Seminar) M.Sc. Biochmie und Molekulare Biologie|Veranstaltungsart|Seminar
Forschungsmodul II (Seminar) M.Sc. Biochmie und Molekulare Biologie|Dozent|Thomas Scheibel
Forschungsmodul II (Seminar) M.Sc. Biochmie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul (Praktikum) B.Sc. Biochemie|Vorlesungsnummer|20615
Forschungsmodul (Praktikum) B.Sc. Biochemie|Veranstaltungsart|Praktikum
Forschungsmodul (Praktikum) B.Sc. Biochemie|Dozent|Thomas Scheibel
Forschungsmodul (Praktikum) B.Sc. Biochemie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul (Seminar) B.Sc. Biochemie|Vorlesungsnummer|20616
Forschungsmodul (Seminar) B.Sc. Biochemie|Veranstaltungsart|Seminar
Forschungsmodul (Seminar) B.Sc. Biochemie|Dozent|Thomas Scheibel
Forschungsmodul (Seminar) B.Sc. Biochemie|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsmodul Soft Matter Simulation|Vorlesungsnummer|00898
Forschungsmodul Soft Matter Simulation|Veranstaltungsart|Praktikum
Forschungsmodul Soft Matter Simulation|Dozent|Thomas Gruhn
Forschungsmodul Soft Matter Simulation|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan Integratives Modul|Vorlesungsnummer|00685
Forschungsplan Integratives Modul|Veranstaltungsart|Kolloquium
Forschungsplan Integratives Modul|Dozent|Thomas Scheibel
Forschungsplan Integratives Modul|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan M.Sc. Materialchemie und Katalyse|Vorlesungsnummer|00454
Forschungsplan M.Sc. Materialchemie und Katalyse|Veranstaltungsart|Praktikum
Forschungsplan M.Sc. Materialchemie und Katalyse|Dozent|Thomas Scheibel
Forschungsplan M.Sc. Materialchemie und Katalyse|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan M.Sc. Materialchemie und Katalyse (Seminar)|Vorlesungsnummer|00020
Forschungsplan M.Sc. Materialchemie und Katalyse (Seminar)|Veranstaltungsart|Seminar
Forschungsplan M.Sc. Materialchemie und Katalyse (Seminar)|Dozent|Thomas Scheibel
Forschungsplan M.Sc. Materialchemie und Katalyse (Seminar)|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan M.Sc. Polymer Science P210|Vorlesungsnummer|00458
Forschungsplan M.Sc. Polymer Science P210|Veranstaltungsart|Praktikum
Forschungsplan M.Sc. Polymer Science P210|Dozent|Thomas Scheibel
Forschungsplan M.Sc. Polymer Science P210|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan M.Sc. Polymer Science P210 (Seminar)|Vorlesungsnummer|00459
Forschungsplan M.Sc. Polymer Science P210 (Seminar)|Veranstaltungsart|Seminar
Forschungsplan M.Sc. Polymer Science P210 (Seminar)|Dozent|Thomas Scheibel
Forschungsplan M.Sc. Polymer Science P210 (Seminar)|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan (Research Proposal) M.Sc. Natur-u. Wirkstoffchemie B210|Vorlesungsnummer|00022
Forschungsplan (Research Proposal) M.Sc. Natur-u. Wirkstoffchemie B210|Veranstaltungsart|Praktikum
Forschungsplan (Research Proposal) M.Sc. Natur-u. Wirkstoffchemie B210|Dozent|Thomas Scheibel
Forschungsplan (Research Proposal) M.Sc. Natur-u. Wirkstoffchemie B210|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungsplan (Research Proposal) M.Sc. Natur-u.Wirkstoffchemie B210 (Seminar)|Vorlesungsnummer|00457
Forschungsplan (Research Proposal) M.Sc. Natur-u.Wirkstoffchemie B210 (Seminar)|Veranstaltungsart|Seminar
Forschungsplan (Research Proposal) M.Sc. Natur-u.Wirkstoffchemie B210 (Seminar)|Dozent|Thomas Scheibel
Forschungsplan (Research Proposal) M.Sc. Natur-u.Wirkstoffchemie B210 (Seminar)|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungspraktikum Faserverbundwerkstoffe|Vorlesungsnummer|00671
Forschungspraktikum Faserverbundwerkstoffe|Veranstaltungsart|Praktikum
Forschungspraktikum Faserverbundwerkstoffe|Dozent|Carolin Sitzmann
Forschungspraktikum Faserverbundwerkstoffe|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Forschungspraktikum I (P301, PW)|Vorlesungsnummer|00289
Forschungspraktikum I (P301, PW)|Veranstaltungsart|Praktikum
Forschungspraktikum I (P301, PW)|Dozent|Volker Altstädt
Forschungspraktikum I (P301, PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Forschungspraktikum II (P302, PW)|Vorlesungsnummer|00309
Forschungspraktikum II (P302, PW)|Veranstaltungsart|Praktikum
Forschungspraktikum II (P302, PW)|Dozent|Volker Altstädt
Forschungspraktikum II (P302, PW)|Veranstaltung von|Lehrstuhl Polymere Werkstoffe
Forschungsseminar|Vorlesungsnummer|00140
Forschungsseminar|Veranstaltungsart|Kurs
Forschungsseminar|Dozent|Gerhard Fischerauer
Forschungsseminar|Veranstaltung von|Lehrstuhl für Mess- und Regeltechnik
Forschungsseminar Integratives Modul|Vorlesungsnummer|00684
Forschungsseminar Integratives Modul|Veranstaltungsart|Seminar
Forschungsseminar Integratives Modul|Dozent|Thomas Scheibel
Forschungsseminar Integratives Modul|Veranstaltung von|Lehrstuhl Biomaterialien
Forschungstätigkeiten am Lehrstuhl Metallische Werkstoffe|Vorlesungsnummer|69097
Forschungstätigkeiten am Lehrstuhl Metallische Werkstoffe|Veranstaltungsart|Vorlesung
Forschungstätigkeiten am Lehrstuhl Metallische Werkstoffe|Dozent|Uwe Glatzel
Forschungstätigkeiten am Lehrstuhl Metallische Werkstoffe|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Gefügestabilität|Vorlesungsnummer|67201
Gefügestabilität|Veranstaltungsart|Vorlesung
Gefügestabilität|Dozent|Michael Fleck
Gefügestabilität|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Glas und Glaskeramik|Vorlesungsnummer|60338
Glas und Glaskeramik|Veranstaltungsart|Vorlesung
Glas und Glaskeramik|Dozent|Thorsten Gerdes
Glas und Glaskeramik|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Graduiertenseminar|Vorlesungsnummer|69190
Graduiertenseminar|Veranstaltungsart|Seminar
Graduiertenseminar|Dozent|Thomas Scheibel
Graduiertenseminar|Veranstaltung von|Lehrstuhl Biomaterialien
Grafikprogrammierung und Visualisierung (vormals Computertechnik II)|Vorlesungsnummer|61322
Grafikprogrammierung und Visualisierung (vormals Computertechnik II)|Veranstaltungsart|Vorlesung
Grafikprogrammierung und Visualisierung (vormals Computertechnik II)|Dozent|Frank Rieg
Grafikprogrammierung und Visualisierung (vormals Computertechnik II)|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
Grundlagen der Energieumwandlung II: Elektrische und elektrochemische Technologien|Vorlesungsnummer|00153
Grundlagen der Energieumwandlung II: Elektrische und elektrochemische Technologien|Veranstaltungsart|Vorlesung
Grundlagen der Energieumwandlung II: Elektrische und elektrochemische Technologien|Dozent|Michael Danzer
Grundlagen der Energieumwandlung II: Elektrische und elektrochemische Technologien|Veranstaltung von|Lehrstuhl Elektrische Energiesysteme
Grundlagen der Energieumwandlung II: regenerative Energien|Vorlesungsnummer|61301
Grundlagen der Energieumwandlung II: regenerative Energien|Veranstaltungsart|Vorlesung
Grundlagen der Energieumwandlung II: regenerative Energien|Dozent|Michael Danzer
Grundlagen der Energieumwandlung II: regenerative Energien|Veranstaltung von|Lehrstuhl Elektrische Energiesysteme
Grundlagen der Werkstoffverarbeitung|Vorlesungsnummer|60051
Grundlagen der Werkstoffverarbeitung|Veranstaltungsart|Vorlesung
Grundlagen der Werkstoffverarbeitung|Dozent|Christina Roth
Grundlagen der Werkstoffverarbeitung|Veranstaltung von|Prof. Dr.-Ing. Christina Roth
Hochleistungskeramiken in der Anwendung|Vorlesungsnummer|60339
Hochleistungskeramiken in der Anwendung|Veranstaltungsart|Vorlesung
Hochleistungskeramiken in der Anwendung|Dozent|Ulrich Degenhardt
Hochleistungskeramiken in der Anwendung|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Hochtemperaturkorrosion|Vorlesungsnummer|60301
Hochtemperaturkorrosion|Veranstaltungsart|Vorlesung
Hochtemperaturkorrosion|Dozent|Mathias Galetz
Hochtemperaturkorrosion|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Hochtemperatur-Leichtbau|Vorlesungsnummer|60303
Hochtemperatur-Leichtbau|Veranstaltungsart|Vorlesung
Hochtemperatur-Leichtbau|Dozent|Walter Krenkel
Hochtemperatur-Leichtbau|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Hochtemperatur-Leichtbau|Vorlesungsnummer|60335
Hochtemperatur-Leichtbau|Veranstaltungsart|Übung
Hochtemperatur-Leichtbau|Dozent|Nico Langhof
Hochtemperatur-Leichtbau|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Höhere Festigkeitslehre|Vorlesungsnummer|00010
Höhere Festigkeitslehre|Veranstaltungsart|Vorlesung
Höhere Festigkeitslehre|Dozent|Christian Glenk
Höhere Festigkeitslehre|Veranstaltung von|Lehrstuhl Konstruktionslehre/CAD
How to write a paper|Vorlesungsnummer|00632
How to write a paper|Veranstaltungsart|Übung
How to write a paper|Dozent|Hendrik Bargel
How to write a paper|Veranstaltung von|Lehrstuhl Biomaterialien
Industrie 4.0 in Planung und Produktion|Vorlesungsnummer|69200
Industrie 4.0 in Planung und Produktion|Veranstaltungsart|Vorlesung
Industrie 4.0 in Planung und Produktion|Dozent|Christian Bay
Industrie 4.0 in Planung und Produktion|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Industrie 4.0 in Planung und Produktion|Vorlesungsnummer|69201
Industrie 4.0 in Planung und Produktion|Veranstaltungsart|Übung
Industrie 4.0 in Planung und Produktion|Dozent|Christian Bay
Industrie 4.0 in Planung und Produktion|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Information|Vorlesungsnummer|00551
Information|Veranstaltungsart|Kurs
Information|Dozent|Ruth Freitag
Information|Veranstaltung von|Lehrstuhl Bioprozesstechnik
Innovation Management 2|Vorlesungsnummer|00221
Innovation Management 2|Veranstaltungsart|Vorlesung
Innovation Management 2|Dozent|Vanessa Neubauer
Innovation Management 2|Veranstaltung von|Lehrstuhl Biomaterialien
Innovations- und Technologiemanagement|Vorlesungsnummer|60310
Innovations- und Technologiemanagement|Veranstaltungsart|Vorlesung
Innovations- und Technologiemanagement|Dozent|Frank Döpper
Innovations- und Technologiemanagement|Veranstaltung von|Lehrstuhl Umweltgerechte Produktionstechnik
Integratives Modul (Forschungsplan) M.Sc. Biochmie und Molekulare Biologie|Vorlesungsnummer|00418
Integratives Modul (Forschungsplan) M.Sc. Biochmie und Molekulare Biologie|Veranstaltungsart|Projekt
Integratives Modul (Forschungsplan) M.Sc. Biochmie und Molekulare Biologie|Dozent|Thomas Scheibel
Integratives Modul (Forschungsplan) M.Sc. Biochmie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
Integratives Modul (Forschungsseminar) M.Sc. Biochemie und Molekulare Biologie|Vorlesungsnummer|00419
Integratives Modul (Forschungsseminar) M.Sc. Biochemie und Molekulare Biologie|Veranstaltungsart|Seminar
Integratives Modul (Forschungsseminar) M.Sc. Biochemie und Molekulare Biologie|Dozent|Thomas Scheibel
Integratives Modul (Forschungsseminar) M.Sc. Biochemie und Molekulare Biologie|Veranstaltung von|Lehrstuhl Biomaterialien
International Advanced Module (IAM) / mündl. Prüfung|Vorlesungsnummer|00558
International Advanced Module (IAM) / mündl. Prüfung|Veranstaltungsart|Praktikum
International Advanced Module (IAM) / mündl. Prüfung|Dozent|Leonid Ionov
International Advanced Module (IAM) / mündl. Prüfung|Veranstaltung von|Biofabrication
International Advanced Module (IAM) / Protokoll|Vorlesungsnummer|00561
International Advanced Module (IAM) / Protokoll|Veranstaltungsart|Praktikum
International Advanced Module (IAM) / Protokoll|Dozent|Leonid Ionov
International Advanced Module (IAM) / Protokoll|Veranstaltung von|Biofabrication
Introduction in Organic and Polymer Chemistry/CPC|Vorlesungsnummer|01097
Introduction in Organic and Polymer Chemistry/CPC|Veranstaltungsart|Vorlesung
Introduction in Organic and Polymer Chemistry/CPC|Dozent|Leonid Ionov
Introduction in Organic and Polymer Chemistry/CPC|Veranstaltung von|Biofabrication
Introduction in Organic and Polymer Chemistry/CPC/Seminar|Vorlesungsnummer|01098
Introduction in Organic and Polymer Chemistry/CPC/Seminar|Veranstaltungsart|Seminar
Introduction in Organic and Polymer Chemistry/CPC/Seminar|Dozent|Leonid Ionov
Introduction in Organic and Polymer Chemistry/CPC/Seminar|Veranstaltung von|Biofabrication
Introduction in Polymer Science (Auflagenfach Biofab)|Vorlesungsnummer|00993
Introduction in Polymer Science (Auflagenfach Biofab)|Veranstaltungsart|Vorlesung
Introduction in Polymer Science (Auflagenfach Biofab)|Dozent|Leonid Ionov
Introduction in Polymer Science (Auflagenfach Biofab)|Veranstaltung von|Biofabrication
Keramische Schichten und Precursoren|Vorlesungsnummer|66110
Keramische Schichten und Precursoren|Veranstaltungsart|Vorlesung
Keramische Schichten und Precursoren|Dozent|Günter Motz
Keramische Schichten und Precursoren|Veranstaltung von|Lehrstuhl Keramische Werkstoffe
Kolloquium „Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen“|Vorlesungsnummer|69096
Kolloquium „Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen“|Veranstaltungsart|Kurs
Kolloquium „Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen“|Dozent|Uwe Glatzel
Kolloquium „Stabile und metastabile Mehrphasensysteme bei hohen Anwendungstemperaturen“|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Konstitutionslehre I|Vorlesungsnummer|60204
Konstitutionslehre I|Veranstaltungsart|Vorlesung
Konstitutionslehre I|Dozent|Rainer Völkl
Konstitutionslehre I|Veranstaltung von|Lehrstuhl Metallische Werkstoffe
Konstitutionslehre I|Vorlesungsnummer|00581
